Filename:	D:\TGAdata\„∆√ŒœÈ\Ã∆–°º™\15%5mm.t6d

Temperature (°„C)	Weight % (%)
329.39	97.341
329.73	97.306
330.06	97.271
330.40	97.243
330.73	97.216
331.07	97.184
331.40	97.149
331.73	97.117
332.07	97.086
332.40	97.058
332.74	97.027
333.08	96.996
333.41	96.964
333.75	96.937
334.08	96.901
334.42	96.870
334.76	96.827
335.09	96.792
335.43	96.748
335.76	96.713
336.10	96.670
336.43	96.634
336.77	96.603
337.10	96.564
337.44	96.540
337.77	96.505
338.11	96.469
338.44	96.418
338.78	96.371
339.11	96.328
339.44	96.293
339.77	96.253
340.11	96.202
340.44	96.159
340.77	96.108
341.11	96.065
341.44	96.018
341.77	95.970
342.10	95.920
342.44	95.869
342.77	95.821
343.11	95.770
343.44	95.711
343.78	95.656
344.11	95.601
344.44	95.546
344.78	95.495
345.12	95.448
345.45	95.389
345.79	95.342
346.12	95.271
346.46	95.201
346.80	95.138
347.13	95.071
347.47	95.004
347.81	94.938
348.14	94.871
348.48	94.800
348.81	94.729
349.14	94.658
349.48	94.592
349.81	94.521
350.15	94.458
350.48	94.395
350.82	94.321
351.15	94.246
351.49	94.168
351.83	94.081
352.16	93.999
352.49	93.916
352.82	93.830
353.16	93.747
353.49	93.665
353.83	93.586
354.17	93.492
354.51	93.405
354.84	93.315
355.18	93.225
355.52	93.139
355.86	93.040
356.20	92.950
356.54	92.856
356.88	92.773
357.21	92.675
357.55	92.577
357.89	92.483
358.23	92.388
358.57	92.286
358.91	92.184
359.25	92.078
359.59	91.976
359.93	91.870
360.27	91.756
360.60	91.634
360.94	91.512
361.28	91.410
361.62	91.300
361.95	91.186
362.29	91.068
362.63	90.951
362.97	90.825
363.30	90.707
363.64	90.589
363.97	90.471
364.31	90.346
364.64	90.220
364.97	90.098
365.31	89.969
365.64	89.843
365.98	89.717
366.32	89.584
366.65	89.446
366.98	89.313
367.32	89.167
367.65	89.026
367.98	88.888
368.31	88.751
368.64	88.617
368.97	88.472
369.30	88.339
369.63	88.197
369.96	88.052
370.29	87.907
370.61	87.761
370.94	87.624
371.27	87.474
371.60	87.325
371.93	87.184
372.27	87.035
372.60	86.881
372.93	86.736
373.26	86.587
373.59	86.433
373.92	86.276
374.25	86.111
374.58	85.950
374.91	85.785
375.23	85.628
375.56	85.471
375.89	85.314
376.22	85.153
376.55	84.992
376.88	84.827
377.20	84.666
377.53	84.509
377.86	84.352
378.19	84.195
378.52	84.045
378.85	83.880
379.18	83.719
379.51	83.558
379.84	83.401
380.17	83.240
380.50	83.071
380.82	82.906
381.15	82.753
381.48	82.580
381.81	82.419
382.13	82.254
382.46	82.093
382.79	81.928
383.12	81.759
383.45	81.590
383.78	81.425
384.11	81.260
384.44	81.095
384.77	80.923
385.10	80.761
385.42	80.601
385.76	80.436
386.09	80.262
386.42	80.086
386.75	79.921
387.08	79.748
387.41	79.567
387.75	79.395
388.08	79.226
388.41	79.057
388.74	78.884
389.07	78.715
389.40	78.534
389.73	78.354
390.06	78.181
390.40	78.004
390.73	77.820
391.06	77.643
391.40	77.462
391.74	77.277
