Filename:	D:\TGAdata\ãÆÃÎÏé\ÌÆÐ¡¼ª\´¿PP.t6d

Temperature (¡ãC)	Weight % (%)
319.93	99.417
320.26	99.413
320.60	99.405
320.93	99.405
321.27	99.393
321.60	99.384
321.94	99.372
322.27	99.360
322.61	99.348
322.95	99.332
323.29	99.319
323.62	99.311
323.96	99.311
324.30	99.307
324.64	99.303
324.97	99.307
325.31	99.287
325.65	99.263
325.98	99.251
326.31	99.238
326.65	99.226
326.98	99.218
327.32	99.222
327.66	99.214
327.99	99.206
328.32	99.190
328.65	99.181
328.98	99.173
329.31	99.169
329.65	99.153
329.98	99.137
330.32	99.125
330.65	99.113
330.99	99.092
331.32	99.084
331.66	99.076
332.00	99.056
332.33	99.040
332.67	99.031
333.00	99.019
333.34	99.003
333.67	98.991
334.00	98.971
334.33	98.954
334.67	98.946
335.01	98.942
335.35	98.930
335.69	98.914
336.02	98.885
336.36	98.861
336.70	98.837
337.04	98.816
337.37	98.796
337.71	98.780
338.05	98.764
338.38	98.743
338.71	98.723
339.05	98.695
339.38	98.662
339.72	98.634
340.05	98.614
340.38	98.585
340.72	98.549
341.05	98.520
341.39	98.500
341.72	98.476
342.06	98.447
342.40	98.411
342.73	98.382
343.07	98.362
343.41	98.334
343.76	98.297
344.10	98.261
344.44	98.232
344.78	98.208
345.12	98.183
345.46	98.139
345.80	98.102
346.14	98.066
346.47	98.033
346.81	98.005
347.15	97.960
347.48	97.916
347.82	97.883
348.16	97.839
348.49	97.802
348.83	97.757
349.17	97.713
349.50	97.676
349.84	97.636
350.19	97.595
350.53	97.555
350.87	97.506
351.20	97.449
351.54	97.396
351.87	97.348
352.21	97.303
352.55	97.250
352.88	97.206
353.22	97.145
353.56	97.088
353.90	97.031
354.23	96.975
354.56	96.918
354.90	96.873
355.24	96.824
355.58	96.768
355.91	96.715
356.25	96.654
356.59	96.585
356.93	96.520
357.27	96.451
357.62	96.390
357.96	96.334
358.30	96.269
358.64	96.204
358.99	96.143
359.33	96.070
359.68	95.997
360.02	95.920
360.36	95.843
360.70	95.774
361.04	95.705
361.38	95.628
361.72	95.546
362.06	95.478
362.40	95.396
362.74	95.319
363.07	95.242
363.40	95.165
363.74	95.088
364.07	95.007
364.40	94.914
364.74	94.824
365.07	94.739
365.40	94.646
365.73	94.561
366.06	94.480
366.39	94.382
366.73	94.289
367.06	94.196
367.39	94.098
367.72	94.001
368.05	93.907
368.38	93.810
368.72	93.709
369.05	93.607
369.39	93.506
369.72	93.400
370.05	93.291
370.38	93.181
370.72	93.076
371.05	92.954
371.38	92.841
371.72	92.723
372.05	92.605
372.38	92.487
372.71	92.366
373.04	92.240
373.36	92.110
373.69	91.989
374.02	91.875
374.35	91.761
374.68	91.640
375.00	91.510
375.33	91.384
375.66	91.254
375.99	91.112
376.32	90.974
376.66	90.833
376.99	90.682
377.33	90.540
377.66	90.402
377.99	90.252
378.32	90.106
378.65	89.960
378.98	89.814
379.31	89.668
379.64	89.514
379.98	89.368
380.31	89.210
380.64	89.059
380.98	88.897
381.31	88.739
381.64	88.585
381.97	88.427
382.30	88.272
382.63	88.106
382.96	87.940
383.29	87.770
383.62	87.599
383.95	87.420
384.28	87.246
384.61	87.072
384.94	86.893
385.27	86.710
385.60	86.532
385.94	86.358
386.27	86.183
386.60	85.996
386.93	85.814
387.26	85.635
387.58	85.453
387.91	85.258
388.24	85.063
388.57	84.865
388.91	84.670
389.24	84.471
389.57	84.272
389.90	84.061
390.24	83.850
390.57	83.643
390.90	83.429
391.24	83.221
391.57	83.007
391.90	82.796
392.23	82.581
392.56	82.362
