Filename:	D:\TGAdata\„∆√ŒœÈ\20150506\10.pdid

Temperature (°„C)	Heat Flow Endo Up (mW)
32.61	3.9408
32.63	3.9415
32.65	3.9420
32.66	3.9426
32.67	3.9433
32.69	3.9440
32.71	3.9448
32.73	3.9453
32.74	3.9457
32.76	3.9461
32.78	3.9465
32.80	3.9471
32.81	3.9473
32.83	3.9477
32.84	3.9481
32.85	3.9487
32.87	3.9491
32.89	3.9497
32.91	3.9502
32.92	3.9507
32.94	3.9509
32.95	3.9515
32.97	3.9523
32.99	3.9529
33.00	3.9536
33.02	3.9542
33.04	3.9548
33.05	3.9553
33.07	3.9558
33.09	3.9563
33.10	3.9566
33.12	3.9572
33.14	3.9578
33.16	3.9582
33.17	3.9586
33.19	3.9591
33.20	3.9597
33.22	3.9601
33.23	3.9605
33.25	3.9609
33.27	3.9611
33.28	3.9616
33.30	3.9617
33.32	3.9624
33.33	3.9631
33.36	3.9638
33.38	3.9643
33.39	3.9648
33.40	3.9653
33.42	3.9657
33.44	3.9662
33.45	3.9668
33.47	3.9672
33.49	3.9677
33.50	3.9681
33.52	3.9684
33.53	3.9690
33.55	3.9695
33.57	3.9697
33.58	3.9701
33.60	3.9703
33.62	3.9706
33.63	3.9709
33.65	3.9712
33.67	3.9719
33.68	3.9725
33.70	3.9731
33.72	3.9739
33.73	3.9746
33.75	3.9752
33.77	3.9756
33.79	3.9760
33.80	3.9765
33.82	3.9769
33.84	3.9772
33.85	3.9777
33.87	3.9779
33.89	3.9784
33.90	3.9789
33.92	3.9793
33.93	3.9797
33.95	3.9799
33.97	3.9805
33.98	3.9808
34.00	3.9812
34.02	3.9816
34.03	3.9823
34.05	3.9829
34.07	3.9836
34.08	3.9843
34.09	3.9847
34.12	3.9855
34.13	3.9860
34.15	3.9865
34.17	3.9871
34.18	3.9877
34.20	3.9881
34.21	3.9887
34.23	3.9892
34.25	3.9895
34.26	3.9900
34.28	3.9905
34.30	3.9911
34.31	3.9915
34.33	3.9921
34.35	3.9927
34.37	3.9932
34.38	3.9938
34.40	3.9943
34.41	3.9951
34.43	3.9957
34.44	3.9963
34.46	3.9970
34.48	3.9975
34.49	3.9980
34.51	3.9986
34.53	3.9992
34.55	3.9995
34.57	4.0001
34.58	4.0006
34.59	4.0010
34.61	4.0015
34.63	4.0019
34.64	4.0024
34.66	4.0027
34.68	4.0032
34.69	4.0037
34.71	4.0042
34.73	4.0048
34.74	4.0055
34.76	4.0062
34.77	4.0068
34.79	4.0074
34.81	4.0080
34.83	4.0089
34.84	4.0093
34.86	4.0099
34.87	4.0106
34.89	4.0111
34.91	4.0115
34.92	4.0119
34.94	4.0124
34.96	4.0130
34.97	4.0132
34.99	4.0136
35.01	4.0140
35.02	4.0145
35.05	4.0150
35.06	4.0155
35.08	4.0162
35.09	4.0166
35.11	4.0173
35.13	4.0181
35.14	4.0187
35.16	4.0194
35.18	4.0197
35.19	4.0200
35.20	4.0206
35.22	4.0210
35.24	4.0214
35.26	4.0217
35.27	4.0221
35.29	4.0224
35.31	4.0228
35.33	4.0233
35.34	4.0238
35.36	4.0243
35.38	4.0246
35.39	4.0250
35.41	4.0252
35.42	4.0259
35.44	4.0266
35.45	4.0272
35.48	4.0280
35.49	4.0287
35.50	4.0293
35.52	4.0301
35.53	4.0305
35.55	4.0310
35.57	4.0314
35.59	4.0319
35.60	4.0324
35.62	4.0329
