Filename:	D:\TGAdata\„∆√ŒœÈ\20150506\10%5mm.pdid

Temperature (°„C)	Heat Flow Endo Up (mW)
28.75	3.4642
28.77	3.4650
28.79	3.4656
28.80	3.4661
28.82	3.4665
28.84	3.4670
28.85	3.4675
28.88	3.4679
28.90	3.4684
28.91	3.4688
28.92	3.4693
28.94	3.4696
28.95	3.4699
28.97	3.4703
28.99	3.4707
29.00	3.4710
29.02	3.4714
29.03	3.4718
29.05	3.4721
29.07	3.4725
29.08	3.4730
29.10	3.4737
29.12	3.4741
29.14	3.4748
29.15	3.4753
29.17	3.4759
29.18	3.4766
29.20	3.4769
29.22	3.4774
29.24	3.4778
29.25	3.4783
29.27	3.4787
29.29	3.4791
29.31	3.4793
29.32	3.4796
29.34	3.4800
29.35	3.4802
29.37	3.4806
29.39	3.4812
29.40	3.4815
29.42	3.4821
29.44	3.4826
29.45	3.4831
29.47	3.4835
29.49	3.4841
29.50	3.4847
29.52	3.4852
29.54	3.4857
29.55	3.4862
29.57	3.4865
29.59	3.4868
29.60	3.4871
29.62	3.4876
29.64	3.4881
29.66	3.4885
29.67	3.4889
29.69	3.4891
29.70	3.4895
29.72	3.4900
29.73	3.4904
29.75	3.4906
29.77	3.4910
29.79	3.4914
29.80	3.4918
29.82	3.4925
29.83	3.4930
29.85	3.4935
29.88	3.4940
29.89	3.4945
29.90	3.4949
29.92	3.4956
29.93	3.4959
29.95	3.4964
29.97	3.4967
29.99	3.4971
30.00	3.4975
30.02	3.4979
30.04	3.4983
30.05	3.4986
30.07	3.4990
30.09	3.4993
30.10	3.4995
30.12	3.4998
30.14	3.5002
30.15	3.5009
30.17	3.5014
30.19	3.5020
30.20	3.5025
30.22	3.5033
30.23	3.5037
30.24	3.5041
30.27	3.5045
30.28	3.5048
30.30	3.5051
30.32	3.5054
30.34	3.5057
30.35	3.5062
30.37	3.5066
30.39	3.5070
30.40	3.5074
30.42	3.5080
30.43	3.5084
30.45	3.5086
30.47	3.5093
30.48	3.5092
30.50	3.5097
30.52	3.5104
30.54	3.5110
30.55	3.5115
30.57	3.5121
30.59	3.5125
30.60	3.5133
30.62	3.5138
30.64	3.5142
30.65	3.5148
30.67	3.5152
30.68	3.5156
30.70	3.5160
30.72	3.5166
30.74	3.5168
30.75	3.5171
30.77	3.5173
30.78	3.5177
30.80	3.5179
30.82	3.5184
30.84	3.5188
30.85	3.5193
30.87	3.5196
30.89	3.5201
30.90	3.5207
30.92	3.5212
30.94	3.5217
30.95	3.5221
30.97	3.5225
30.99	3.5229
31.00	3.5234
31.02	3.5240
31.04	3.5246
31.05	3.5249
31.07	3.5253
31.09	3.5259
31.10	3.5261
31.12	3.5265
31.13	3.5268
31.15	3.5271
31.17	3.5275
31.18	3.5279
31.20	3.5283
31.22	3.5288
31.24	3.5293
31.25	3.5298
31.27	3.5304
31.28	3.5309
31.30	3.5314
31.32	3.5319
31.34	3.5325
31.35	3.5328
31.37	3.5332
31.38	3.5336
31.40	3.5338
31.42	3.5343
31.43	3.5346
31.45	3.5350
31.47	3.5354
31.48	3.5359
31.50	3.5361
31.52	3.5366
31.53	3.5370
31.55	3.5373
31.57	3.5377
31.58	3.5383
31.60	3.5388
31.62	3.5394
31.64	3.5401
31.65	3.5406
31.67	3.5409
31.69	3.5411
31.70	3.5417
31.72	3.5423
31.73	3.5426
31.74	3.5430
31.76	3.5436
31.78	3.5440
31.80	3.5443
31.82	3.5446
31.83	3.5450
31.85	3.5454
31.86	3.5460
31.88	3.5465
31.90	3.5467
31.92	3.5469
31.93	3.5475
31.95	3.5480
31.96	3.5485
31.98	3.5491
32.00	3.5497
32.02	3.5501
32.03	3.5508
32.05	3.5511
32.07	3.5515
32.08	3.5518
32.10	3.5523
32.12	3.5530
32.13	3.5535
32.15	3.5541
32.17	3.5544
32.18	3.5547
32.20	3.5551
32.21	3.5558
32.23	3.5561
32.24	3.5563
32.27	3.5567
32.28	3.5573
32.30	3.5579
32.32	3.5587
32.33	3.5593
32.35	3.5600
32.36	3.5606
32.38	3.5612
32.40	3.5618
32.41	3.5620
32.43	3.5624
32.45	3.5627
32.46	3.5631
32.47	3.5635
32.49	3.5639
32.51	3.5642
32.53	3.5647
32.55	3.5651
32.56	3.5654
32.58	3.5658
32.60	3.5661
32.61	3.5663
32.63	3.5669
32.64	3.5674
32.66	3.5681
32.68	3.5688
32.70	3.5694
32.72	3.5700
32.73	3.5705
32.74	3.5709
32.77	3.5712
32.78	3.5717
32.80	3.5719
32.82	3.5724
32.83	3.5729
32.84	3.5731
32.86	3.5736
32.88	3.5740
32.90	3.5742
32.91	3.5744
32.93	3.5750
32.95	3.5751
32.97	3.5756
32.98	3.5758
32.99	3.5764
33.01	3.5770
33.03	3.5772
33.05	3.5778
33.06	3.5784
33.08	3.5789
33.10	3.5793
33.12	3.5797
33.13	3.5803
33.14	3.5808
33.16	3.5813
33.18	3.5817
33.20	3.5822
33.21	3.5825
33.23	3.5827
33.24	3.5833
33.26	3.5838
33.28	3.5841
33.30	3.5844
