Filename:	D:\TGAdata\„∆√ŒœÈ\20150506\20%5mm.pdid

Temperature (°„C)	Heat Flow Endo Up (mW)
23.48	3.3885
23.50	3.3889
23.51	3.3891
23.53	3.3895
23.55	3.3899
23.56	3.3903
23.58	3.3906
23.59	3.3910
23.62	3.3915
23.63	3.3919
23.65	3.3927
23.66	3.3934
23.68	3.3940
23.70	3.3946
23.72	3.3952
23.73	3.3958
23.74	3.3961
23.76	3.3963
23.78	3.3968
23.80	3.3972
23.82	3.3978
23.83	3.3981
23.85	3.3987
23.87	3.3992
23.88	3.3995
23.89	3.3998
23.91	3.4001
23.93	3.4005
23.95	3.4010
23.96	3.4011
23.98	3.4017
24.00	3.4023
24.02	3.4029
24.03	3.4034
24.05	3.4040
24.06	3.4047
24.08	3.4053
24.09	3.4056
24.11	3.4062
24.12	3.4066
24.14	3.4070
24.16	3.4075
24.18	3.4077
24.20	3.4081
24.21	3.4087
24.23	3.4090
24.24	3.4093
24.26	3.4095
24.28	3.4098
24.29	3.4103
24.31	3.4106
24.33	3.4108
24.34	3.4113
24.36	3.4118
24.38	3.4125
24.39	3.4128
24.40	3.4134
24.43	3.4140
24.45	3.4144
24.46	3.4149
24.48	3.4153
24.50	3.4156
24.51	3.4161
24.53	3.4165
24.54	3.4167
24.56	3.4171
24.58	3.4173
24.59	3.4176
24.61	3.4180
24.63	3.4183
24.64	3.4188
24.65	3.4191
24.67	3.4195
24.69	3.4198
24.71	3.4203
24.73	3.4209
24.75	3.4214
24.76	3.4219
24.78	3.4223
24.80	3.4229
24.81	3.4234
24.83	3.4236
24.84	3.4240
24.86	3.4246
24.88	3.4250
24.90	3.4252
24.91	3.4257
24.93	3.4258
24.94	3.4265
24.96	3.4268
24.98	3.4273
24.99	3.4278
25.01	3.4282
25.03	3.4285
25.04	3.4288
25.06	3.4291
25.07	3.4297
25.09	3.4302
25.11	3.4308
25.13	3.4313
25.14	3.4319
25.16	3.4325
25.18	3.4328
25.19	3.4332
25.21	3.4337
25.23	3.4339
25.24	3.4345
25.26	3.4348
25.28	3.4350
25.30	3.4353
25.30	3.4357
25.32	3.4360
25.34	3.4365
25.36	3.4370
25.38	3.4373
25.39	3.4375
25.41	3.4378
25.42	3.4382
25.44	3.4387
25.45	3.4395
25.47	3.4401
25.49	3.4408
25.51	3.4413
25.53	3.4417
25.54	3.4422
25.56	3.4425
25.57	3.4431
25.59	3.4436
25.60	3.4438
25.63	3.4442
25.64	3.4446
25.65	3.4449
25.67	3.4451
25.69	3.4455
25.70	3.4460
25.73	3.4463
25.74	3.4469
25.76	3.4473
25.78	3.4475
25.79	3.4481
25.81	3.4487
25.82	3.4494
25.84	3.4500
25.85	3.4507
25.87	3.4514
25.89	3.4519
25.90	3.4523
25.92	3.4527
25.94	3.4529
25.96	3.4536
25.97	3.4539
25.98	3.4544
26.00	3.4547
26.02	3.4552
26.04	3.4554
26.06	3.4559
26.08	3.4563
26.09	3.4568
26.10	3.4571
26.12	3.4575
26.14	3.4580
26.15	3.4587
26.17	3.4593
26.18	3.4599
26.20	3.4604
26.22	3.4609
26.24	3.4615
26.26	3.4620
26.27	3.4625
26.29	3.4629
26.30	3.4635
26.32	3.4640
26.34	3.4644
26.36	3.4648
26.37	3.4651
26.39	3.4657
26.40	3.4663
26.42	3.4668
26.44	3.4673
26.45	3.4678
26.47	3.4681
26.48	3.4683
26.50	3.4687
26.52	3.4693
26.54	3.4701
26.55	3.4709
26.57	3.4713
26.59	3.4718
26.60	3.4723
26.62	3.4728
26.64	3.4735
26.65	3.4739
26.67	3.4745
26.69	3.4750
26.70	3.4753
26.72	3.4756
26.73	3.4757
26.75	3.4759
26.77	3.4764
26.79	3.4768
26.80	3.4772
26.82	3.4775
26.84	3.4780
26.85	3.4784
26.87	3.4792
26.89	3.4797
26.90	3.4801
26.92	3.4807
26.94	3.4813
26.95	3.4817
26.97	3.4822
26.99	3.4826
27.00	3.4830
27.02	3.4833
27.04	3.4836
27.05	3.4839
27.07	3.4842
27.08	3.4844
27.10	3.4847
27.12	3.4850
27.13	3.4852
27.15	3.4857
27.17	3.4860
27.19	3.4864
27.20	3.4867
27.22	3.4872
27.23	3.4877
27.25	3.4882
27.27	3.4885
27.29	3.4890
27.30	3.4893
27.32	3.4898
27.33	3.4902
27.35	3.4907
27.37	3.4908
27.38	3.4913
27.40	3.4914
27.42	3.4918
27.44	3.4923
27.45	3.4928
27.47	3.4934
27.48	3.4938
27.50	3.4941
27.52	3.4941
27.54	3.4945
27.55	3.4948
27.57	3.4949
27.59	3.4953
27.60	3.4958
27.62	3.4964
27.64	3.4969
27.65	3.4976
27.67	3.4982
27.69	3.4989
