Filename:	D:\TGAdata\„∆√ŒœÈ\20150506\chunPP.pdid

Temperature (°„C)	Heat Flow Endo Up (mW)
22.06	3.4974
22.07	3.4976
22.09	3.4981
22.10	3.4986
22.12	3.4991
22.14	3.4996
22.16	3.5005
22.18	3.5012
22.19	3.5016
22.21	3.5023
22.23	3.5028
22.25	3.5033
22.26	3.5039
22.28	3.5043
22.30	3.5048
22.31	3.5053
22.32	3.5056
22.34	3.5059
22.36	3.5064
22.38	3.5066
22.39	3.5068
22.41	3.5074
22.42	3.5076
22.44	3.5080
22.46	3.5082
22.47	3.5087
22.49	3.5091
22.51	3.5095
22.53	3.5103
22.55	3.5111
22.56	3.5115
22.57	3.5122
22.59	3.5129
22.61	3.5133
22.62	3.5138
22.64	3.5145
22.66	3.5145
22.67	3.5149
22.69	3.5154
22.71	3.5157
22.73	3.5162
22.74	3.5166
22.76	3.5169
22.77	3.5176
22.79	3.5180
22.81	3.5183
22.82	3.5190
22.84	3.5195
22.86	3.5199
22.88	3.5206
22.89	3.5211
22.91	3.5217
22.93	3.5224
22.94	3.5230
22.95	3.5235
22.98	3.5239
22.99	3.5244
23.01	3.5247
23.03	3.5251
23.04	3.5254
23.06	3.5258
23.07	3.5262
23.09	3.5263
23.10	3.5267
23.12	3.5270
23.14	3.5275
23.16	3.5279
23.18	3.5281
23.19	3.5284
23.20	3.5288
23.23	3.5291
23.24	3.5296
23.26	3.5302
23.28	3.5308
23.29	3.5315
23.31	3.5320
23.32	3.5325
23.34	3.5330
23.36	3.5334
23.38	3.5339
23.39	3.5342
23.41	3.5348
23.43	3.5351
23.44	3.5354
23.45	3.5358
23.47	3.5362
23.49	3.5366
23.50	3.5370
23.52	3.5375
23.54	3.5380
23.56	3.5381
23.57	3.5387
23.59	3.5393
23.60	3.5398
23.62	3.5408
23.64	3.5413
23.65	3.5418
23.67	3.5425
23.69	3.5431
23.70	3.5436
23.72	3.5440
23.73	3.5442
23.75	3.5447
23.77	3.5449
23.78	3.5454
23.80	3.5456
23.82	3.5459
23.84	3.5464
23.85	3.5466
23.87	3.5470
23.89	3.5473
23.90	3.5475
23.92	3.5480
23.94	3.5485
23.95	3.5492
23.97	3.5498
23.98	3.5505
24.00	3.5511
24.02	3.5517
24.04	3.5524
24.05	3.5529
24.07	3.5533
24.08	3.5540
24.09	3.5544
24.11	3.5548
24.13	3.5554
24.15	3.5556
24.17	3.5562
24.19	3.5566
24.20	3.5570
24.22	3.5574
24.24	3.5578
24.25	3.5582
24.27	3.5584
24.29	3.5586
24.30	3.5590
24.32	3.5595
24.33	3.5601
24.35	3.5609
24.37	3.5615
24.38	3.5620
24.40	3.5625
24.42	3.5631
24.43	3.5636
24.45	3.5639
24.47	3.5645
24.48	3.5648
24.50	3.5652
24.52	3.5655
24.54	3.5657
24.55	3.5657
24.57	3.5661
24.58	3.5663
24.59	3.5667
24.61	3.5669
24.63	3.5672
24.65	3.5675
24.66	3.5678
24.68	3.5682
24.70	3.5687
24.72	3.5692
24.73	3.5696
24.75	3.5701
24.77	3.5704
24.78	3.5709
24.80	3.5715
24.82	3.5717
24.83	3.5723
24.85	3.5725
24.87	3.5729
24.88	3.5733
24.90	3.5733
24.92	3.5737
24.93	3.5741
24.95	3.5744
24.97	3.5747
24.98	3.5748
25.00	3.5749
25.01	3.5750
25.03	3.5752
25.05	3.5756
25.06	3.5759
25.08	3.5764
25.09	3.5769
25.11	3.5773
25.13	3.5778
25.15	3.5783
25.17	3.5789
25.19	3.5791
25.20	3.5796
25.22	3.5800
25.23	3.5803
25.25	3.5806
25.26	3.5810
25.28	3.5813
25.30	3.5818
25.31	3.5821
25.33	3.5826
25.34	3.5828
25.37	3.5832
25.38	3.5835
25.40	3.5840
25.42	3.5845
25.44	3.5853
25.45	3.5859
25.47	3.5866
25.48	3.5872
25.50	3.5880
25.52	3.5887
25.53	3.5894
25.55	3.5899
25.57	3.5903
25.58	3.5908
25.60	3.5913
25.61	3.5917
25.63	3.5919
25.65	3.5923
25.67	3.5926
25.68	3.5931
25.70	3.5935
25.71	3.5940
25.73	3.5945
25.74	3.5950
25.76	3.5958
25.78	3.5965
25.80	3.5972
25.81	3.5978
25.83	3.5985
25.85	3.5990
25.86	3.5997
25.88	3.6000
25.90	3.6004
25.91	3.6009
25.93	3.6017
25.95	3.6015
25.96	3.6022
25.98	3.6024
26.00	3.6029
26.02	3.6033
26.03	3.6035
26.05	3.6039
26.07	3.6042
26.08	3.6046
26.09	3.6049
26.11	3.6056
26.13	3.6063
26.15	3.6072
26.16	3.6077
26.18	3.6085
26.20	3.6091
26.21	3.6097
26.23	3.6102
26.25	3.6107
26.26	3.6111
26.28	3.6115
26.29	3.6120
26.31	3.6125
26.33	3.6128
26.34	3.6131
26.36	3.6136
26.38	3.6140
26.39	3.6142
26.41	3.6147
26.43	3.6149
26.45	3.6153
